pill_cd,pill_nm,pill_mnf,pill_rv,pill_rvnum,pill_info
02824,락토페린 비타정,한국바이오셀,0.0,0,"*언제든*   하루에 1회, 1회당 2정씩 드세요"
02825,락토페린 프리미엄 600,뉴트리올,0.0,0,"*언제든*   하루에 1회, 1회당 최소 1정 - 최대 2정까지 드세요"
02826,에스핏 락토페린,파이안,0.0,0,"*언제든*   하루에 1회, 1회당 1정씩 드세요"
02827,비비랩 락토페린 프리미엄,뉴트리원,0.0,0,"*언제든*   하루에 1회, 1회당 1정씩 드세요"
02828,락토페린 메타바이오틱스,한결다움,0.0,0,"*아침, 식전*   하루에 1회, 1회당 1포씩 드세요"
02829,락토바이브 지노솔루션,동아제약,0.0,0,"*아침, 식전*   하루에 1회, 1회당 1포씩 드세요"
02830,더다른 이뮨 앤 리스펙타,닥터프리오,0.0,0,"*언제든*   하루에 1회, 1회당 1포씩 드세요"
02831,레시틴,나우푸드,4.5,62,"*언제든, 식후*   하루에 1회, 1회당 3캡슐씩 드세요"
02832,소이 레시틴 1360mg,솔가,4.42,19,
02833,프리미엄 레시틴 플러스,네추럴라이즈,4.59,17,"*아침, 식후/저녁, 식후*   하루에 2회, 1회당 1캡슐씩 드세요"
02834,바이오 레시틴,제이앤에이치바이오,4.36,14,"*아침, 식전*   하루에 1회, 1회당 10g씩 따뜻한 물과 함께 드세요"
02835,리포소말 비타민C,썬리피드,4.7,10,"*언제든, 식후*   하루에 1회, 1회당 1매씩 그대로 또는 음료에 섞어서 드세요"
02836,메가 리포소말 비타민C,오로라뉴트라사이언스,4.5,10,"*언제든, 식후*   하루에 1회, 1회당 1테이블스푼씩 드세요"
02837,썬플라워 레시틴 1200mg,나우푸드,4.11,9,"*언제든*   하루에 1회, 1회당 2캡슐씩 드세요"
02838,레시틴 1365mg,블루보넷뉴트리션,4.44,9,"*언제든*   하루에 1회, 1회당 1정씩 드세요"
02839,레시틴 1200,내추럴플러스,4.63,8,"*언제든, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02840,썬플라워 레시틴 퓨어 파우더,나우푸드,4.5,8,"*언제든*   하루에 1회, 1회당 10g씩 드세요"
02841,뉴트리라이트 츄어블 레시틴,암웨이,5.0,6,"*언제든*   하루에 1회, 1회당 4정씩 씹어서 드세요"
02842,포스파티딜콜린,솔가,4.5,4,"*언제든*   하루에 1회, 1회당 2캡슐씩 드세요"
02843,리포소멀 비타민C+,코드에이지,5.0,4,"*언제든, 식후*   하루에 1회, 1회당 3캡슐씩 물과 함께 드세요"
02844,원어데이 프리미엄 인지질,네추럴라이즈,4.5,4,"*언제든, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02845,바이오 바이오 E 셀레늄,솔라레이,3.25,4,"*언제든, 식후*   하루에 1회, 1회당 2캡슐씩 드세요"
02846,레시틴 1200mg,칼슨랩,4.67,3,"*언제든, 식후*   하루에 최소 1회 - 최대 4회까지 1정씩 드세요"
02847,레시틴 과립,나우푸드,3.0,3,"*언제든*   하루에 1회, 1회당 1.5테이블스푼씩 음료에 섞거나 음식에 뿌려서 드세요"
02848,포스파티딜 콜린,쏜리서치,5.0,2,*아침/점심*   하루에 최소 2회 - 최대 3회까지 1캡슐씩 드세요
02849,헤파토프로 900mg,라이프익스텐션,4.5,2,*아침/저녁*   하루에 최소 2회 - 최대 3회까지 1정씩 드세요
02850,리포소말 비타민B12,캘리포니아골드뉴트리션,4.5,2,"*언제든*   하루에 1회, 1회당 1포씩 드세요"
02851,난황 레시틴,네이처스플러스,5.0,2,"*아침, 식후/저녁, 식후*   하루에 2회, 1회당 1캡슐씩 드세요"
02852,고 크릴 오일 1500mg,고헬씨,4.5,2,"*언제든*   하루에 1회, 1회당 1캡슐씩 드세요"
02853,리포소멀 글루타치온,Lipo Naturals,4.0,1,"*아침, 식전*   하루에 최소 1회 - 최대 2회까지 1테이블스푼씩 주스에 섞어서 드세요"
02854,프리미엄 콜레스테롤 개선 레시틴 플러스,뉴트리딘,5.0,1,"*언제든*   하루에 1회, 1회당 2캡슐씩 드세요"
02855,리포소멀 비타민C,Lipo Naturals,4.0,1,"*언제든, 식후*   하루에 1회, 1회당 1테이블스푼씩 드세요"
02856,대두 레시틴,오로니아,5.0,1,"*언제든*   하루에 1회, 1회당 1캡슐씩 드세요"
02857,메가 레시틴1200 1200mg,AronNaturalSolution,5.0,1,"*아침, 식후/저녁, 식후*   하루에 2회, 1회당 1캡슐씩 드세요"
02858,리포소멀 비타민C 1000mg,레이크에비뉴뉴트리션,5.0,1,"*언제든, 식후*   하루에 1회, 1회당 1매씩 그대로 또는 차가운 음료에 섞어서 드세요"
02859,리포스페릭 비타민C,리브온,0.0,0,"*언제든, 식후*   하루에 최소 1회 - 최대 2회까지 1포씩 30~90ml 정도의 물에 짜넣은 후 드세요"
02860,PC,바디바이오,0.0,0,"*언제든, 식후*   하루에 1회, 1회당 0.5티스푼씩 드세요"
02861,해바라기 레시틴,마이라이프 내추럴스,0.0,0,"*언제든, 식후*   하루에 1회, 1회당 2정씩 드세요"
02862,대두레시틴,건강응원단,0.0,0,"*언제든*   하루에 1회, 1회당 5정씩 드세요"
02863,고 크릴 오일 750mg,고헬씨,0.0,0,"*언제든*   하루에 1회, 1회당 1캡슐씩 드세요"
02864,소이 레시틴 그래뉼스,솔가,0.0,0,"*아침/저녁*   하루에 2회, 1회당 1스쿱씩 드세요"
02865,소이 레시틴,스완슨,0.0,0,"*아침/점심/저녁*   하루에 3회, 1회당 1캡슐씩 드세요"
02866,마이크로 리포소말 비타민D3+,오로라뉴트라사이언스,0.0,0,"*오전중, 식후*   하루에 1회, 1회당 1테이블스푼씩 흔들어서 드세요"
02867,포스파티딜콜린 420mg,내추럴팩터스,0.0,0,"*아침, 식후/점심, 식후/저녁, 식후*   하루에 3회, 1회당 1캡슐씩 드세요"
02868,프리미엄 레시틴1200,헬로바이오,0.0,0,"*아침/저녁*   하루에 2회, 1회당 1캡슐씩 드세요"
02869,브레인 레시틴,고센바이오텍,0.0,0,"*아침/저녁*   하루에 2회, 1회당 2캡슐씩 드세요"
02870,레시틴 과립제,블루보넷뉴트리션,0.0,0,"*언제든, 식전*   하루에 1회, 1회당 7.5g씩 (1테이블스푼) 드세요"
02871,크릴오일 1000mg,스포츠리서치,4.33,3,"*언제든*   하루에 1회, 1회당 1정씩 드세요"
02872,CoQ10 200mg,지보라,0.0,0,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02873,넵튠 크릴오일 500mg,프로토콜포라이프발란스,0.0,0,"*언제든*   하루에 1회, 1회당 2정씩 드세요"
02874,토탈 오메가3 960mg,스포츠리서치,4.72,29,"*언제든*   하루에 1회, 1회당 2정씩 드세요"
02875,크릴오일,커클랜드,4.53,17,"*언제든*   하루에 1회, 1회당 1캡슐씩 드세요"
02876,크릴오일 500mg,캘리포니아골드뉴트리션,4.2,10,"*언제든, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02877,레시틴 콜레스테롤 포뮬러 104,쿄릭,4.78,9,"*아침, 식후/저녁, 식후*   하루에 2회, 1회당 2캡슐씩 드세요"
02878,슈퍼BA부스트 프리미엄 크릴오일 1000mg,캘리포니아골드뉴트리션,5.0,7,"*언제든*   하루에 1회, 1회당 1캡슐씩 드세요"
02879,슈퍼BA2 프리미엄 크릴오일 1000mg,캘리포니아골드뉴트리션,4.71,7,"*언제든*   하루에 1회, 1회당 1캡슐씩 드세요"
02880,크릴오일 500mg 120캡슐,스포츠리서치,4.83,6,"*언제든, 식후*   하루에 1회, 1회당 최소 1캡슐 - 최대 2캡슐까지 드세요"
02881,크릴오일 1000mg 30캡슐,스포츠리서치,4.4,5,"*언제든, 식후*   하루에 1회, 1회당 1개씩 드세요"
02882,코큐텐 150mg,나우푸드,5.0,5,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02883,리포소말 비타민C 1500mg,젠와이즈헬스,4.8,5,"*언제든, 식후*   하루에 1회, 1회당 2캡슐씩 드세요"
02884,저먼 프로트 8000,밀크앤웨이인그리디언츠,4.8,5,"*언제든*   하루에 1회, 1회당 30g씩 드세요"
02885,코큐텐 60mg with 오메가3,나우푸드,4.25,4,"*언제든, 식후*   하루에 최소 1회 - 최대 2회까지 1캡슐씩 드세요"
02886,남극 크릴 오일 오메가 3,칼라일,4.0,3,"*언제든, 식후*   하루에 1회, 1회당 2캡슐씩 드세요"
02887,남극 크릴 오일 500mg,캘리포니아골드뉴트리션,4.33,3,"*언제든*   하루에 1회, 1회당 1정씩 드세요"
02888,이노치노하하A,고바야시제약,4.0,2,"*아침/점심/저녁*   하루에 3회, 1회당 4정씩 드세요"
02889,남극 크릴오일,스포츠리서치,5.0,2,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02890,퓨어 남극 크릴 오일 멀티 베네핏,코리,3.5,2,"*언제든*   하루에 1회, 1회당 1캡슐씩 드세요"
02891,난유백세 플러스,난유백세,3.0,2,"*언제든*   하루에 1회, 1회당 3캡슐씩 드세요"
02892,계란 노른자 레시틴 600mg,네이처스플러스,5.0,2,"*아침/저녁*   하루에 2회, 1회당 2캡슐씩 드세요"
02893,알라스카 레드 오메가-3,홀라이프,5.0,1,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02894,레시틴 with Kelp/B6,메이슨내추럴,5.0,1,"*언제든, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02895,케토 오메가 1400mg,스포츠리서치,4.0,1,"*아침, 식후/저녁, 식후*   하루에 2회, 1회당 2정씩 드세요"
02896,로얄 비타민E,하이웰,5.0,1,"**   하루에 1회, 1회당 최소 1캡슐 - 최대 2캡슐까지 물과 함께 드세요"
02897,유한m 눈편안 지아잔틴 루테인,유한메디카,4.0,1,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02898,호두플렉스 캡슐,셀메드,5.0,1,"*언제든*   하루에 1회, 1회당 2캡슐씩 드세요"
02899,레드파워 크릴 1200,네추럴라이즈,5.0,1,"*언제든*   하루에 1회, 1회당 1캡슐씩 드세요"
02900,메가레드 오메가-3 크릴오일 350mg,쉬프,5.0,1,"*언제든*   하루에 1회, 1회당 1정씩 드세요"
02901,브레인 에센셜,스완슨,5.0,1,"*언제든*   하루에 1회, 1회당 1캡슐씩 드세요"
02902,슈페리어 레드 크릴오일 1500mg,샌더슨,3.0,1,"*언제든*   하루에 1회, 1회당 1캡슐씩 드세요"
02903,크릴오일 맥스 1300,더리얼,4.0,1,"*언제든*   하루에 1회, 1회당 1캡슐씩 드세요"
02904,프라즈마로겐 플러스,마리누,5.0,1,"*언제든*   하루에 1회, 1회당 2캡슐씩 드세요"
02905,골든 더블유,셀라케어,0.0,0,"*아침, 식후/저녁, 식후*   하루에 2회, 1회당 1캡슐씩 드세요"
02906,오메가 메모리 위드 커큐민,노르딕내추럴스,0.0,0,"*언제든*   하루에 1회, 1회당 2캡슐씩 드세요"
02907,내추럴 크릴오일 500mg 바닐라맛,헬시오리진스,0.0,0,"*언제든, 식후*   하루에 1회, 1회당 2캡슐씩 드세요"
02908,울트라 프로스테이트 포뮬러,라이프익스텐션,4.0,1,"*아침, 식후/저녁, 식후*   하루에 2회, 1회당 1캡슐씩 드세요"
02909,마이크로 리포소멀 C,뉴트리콜로지,0.0,0,"*언제든, 식후*   하루에 최소 1회 - 최대 3회까지 1티스푼씩 드세요"
02910,시티콜린,네이처벨,0.0,0,"*언제든*   하루에 1회, 1회당 2캡슐씩 드세요"
02911,츄어블 CoQ10 200mg,나우푸드,0.0,0,"*오전중, 식후*   하루에 1회, 1회당 1정씩 드세요"
02912,슈페리어 레드 크릴오일 500mg,샌더슨,0.0,0,"*언제든*   하루에 1회, 1회당 2캡슐씩 드세요"
02913,골든 크릴오일,퓨어네이처스,0.0,0,"*오전중, 식후*   하루에 1회, 1회당 2정씩 드세요"
02914,브레인 바이탈,디자인포헬스,0.0,0,"*언제든*   하루에 1회, 1회당 2캡슐씩 드세요"
02915,리얼크릴,닥터스베스트,0.0,0,"*언제든, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02916,시티콜린 CDP 콜린,자로우포뮬라,0.0,0,*언제든*   하루에 최소 1회 - 최대 2회까지 1캡슐씩 드세요
02917,넵튠 크릴 1000mg,나우푸드,0.0,0,*아침*   하루에 최소 1회 - 최대 3회까지 1정씩 드세요
02918,수퍼퓨어 아스타잔틴,퓨어시너지,0.0,0,"*오전중, 식후*   하루에 최소 1회 - 최대 2회까지 1캡슐씩 드세요"
02919,로얄 레드 크릴오일 플러스 750mg,웨버내추럴,0.0,0,"*언제든*   하루에 1회, 1회당 2캡슐씩 드세요"
02920,남극 퓨어 크릴,오로니아,0.0,0,"*아침/저녁*   하루에 2회, 1회당 1정씩 드세요"
02921,파이토 크릴,로얄캐네디언,0.0,0,"*언제든*   하루에 1회, 1회당 최소 1캡슐 - 최대 2캡슐까지 드세요"
02922,키즈 엑스트라 스트렝스,포커스팩터,0.0,0,"*언제든*   하루에 1회, 1회당 2정씩 드세요"
02923,크릴 오일 1000,보트레,0.0,0,"*언제든*   하루에 1회, 1회당 2정씩 드세요"
02924,푸라비코,메타제약,0.0,0,"*아침/저녁*   하루에 2회, 1회당 2정씩 드세요"
02925,리포좀UP,캘리포니아골드뉴트리션,0.0,0,"*언제든, 식후*   하루에 1회, 1회당 1포씩 그대로 짜서 먹거나 차가운 음료에 섞어서 드세요"
02926,슈퍼 크릴,조코,0.0,0,"*언제든*   하루에 1회, 1회당 2정씩 드세요"
02927,뉴로 옵티마이저,자로우포뮬라,0.0,0,"*언제든, 식사 2시간후*   하루에 1회, 1회당 4정씩 식간에 물과 함께 드세요"
02928,CoQ10 400mg,지보라,0.0,0,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02929,퀘르세틴,스포츠리서치,0.0,0,"*언제든*   하루에 1회, 1회당 1정씩 드세요"
02930,프리네이탈 오메가3 + 컴플리트 멀티비타민,iWi,0.0,0,"*언제든, 식후*   하루에 1회, 1회당 2캡슐씩 드세요"
02931,트리조말 글루타치온 액상,아펙스에너제틱,0.0,0,*언제든*   하루에 최소 1회 - 최대 2회까지 1티스푼씩 잘 흔든 뒤 드세요
02932,로즈 세라마이드 UV 플러스,베로우,0.0,0,"*저녁, 식후*   하루에 1회, 1회당 1팩씩 드세요"
02933,루테인 골드,녹십초생활건강,4.46,459,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02934,안국 루테인 지아잔틴 미니,안국건강,4.66,422,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02935,아이클리어 루테인지아잔틴,종근당건강,4.47,333,"*언제든, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02936,안심캡슐 안국 루테인 미니 100,안국건강,4.52,233,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02937,뉴트리원라이프 루테인 지아잔틴 164,뉴트리원,4.45,217,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02938,루테인 루테맥스,닥터스베스트,4.53,156,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02939,루테인 20mg with 지아잔틴,캘리포니아골드뉴트리션,4.59,128,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02940,루테인오메가3,지엔엠,4.27,105,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02941,뉴트리디데이 프리미엄 루테인 골드,뉴트리디데이,4.59,90,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02942,눈피로 플로라루테인,트루엔,4.39,89,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02943,루테인 지아잔틴 아스타잔틴,지엔엠,4.58,85,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02944,눈에 좋은 루테인+오메가3,세노비스,4.49,85,"*오전중, 식후*   하루에 1회, 1회당 2캡슐씩 드세요"
02945,아이클리어 루테인아스타잔틴,종근당건강,4.57,82,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 물과 함께 드세요"
02946,닥터 루테인,종근당,4.59,64,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02947,눈사랑 루테인 에이스,종근당건강,4.3,61,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02948,뉴트리원라이프 루테인 지아잔틴 164 에이엑스,뉴트리원,4.61,59,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02949,루테인 맥스,한미약품,4.57,53,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02950,아이루테인,애터미,4.38,52,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02951,징크골드 아이즈,네이처스웨이,4.69,52,"*오전중, 식후*   하루에 1회, 1회당 2정씩 드세요"
02952,뉴트리디데이 프리미엄 루테인 오메가3 골드,뉴트리디데이,4.38,52,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02953,루테인 20mg,솔가,4.65,49,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02954,루테인 지아잔틴 오메가3,지엔엠,4.35,43,"*언제든, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02955,아이클리어 루테인,종근당건강,4.56,43,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02956,뉴트리원라이프 루테인 지아잔틴 164 알티지 오메가3,뉴트리원,4.59,37,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02957,루테인지아잔틴 오메가,중외제약,4.67,36,"*언제든, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02958,루테인 옵티루트,닥터스베스트,4.5,36,"*오전중, 식후*   하루에 1회, 1회당 2정씩 드세요"
02959,루테인+지아잔틴,스포츠리서치,4.83,35,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02960,20100 파워 루테인 플러스,종근당,4.38,34,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02961,안국 눈건강 솔루션,안국건강,4.31,32,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02962,마큐가드 with 사프란 &amp; 아스타잔틴,라이프익스텐션,4.68,31,"*오전중, 식후*   하루에 1회, 1회당 1정씩 드세요"
02963,아이시안 루테인,CJ제일제당,4.27,30,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02964,눈건강엔 빌베리 플러스,프롬바이오,4.5,28,"*오전중, 식후*   하루에 1회, 1회당 2캡슐씩 드세요"
02965,루테인&amp;오메가3,순수식품,4.78,27,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02966,NCS 초임계 루테인 아스타잔틴,뉴트리코어,4.74,27,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02967,초임계 알티지오메가3 루테인지아잔틴,지엔엠,4.56,27,"*언제든*   하루에 1회, 1회당 1캡슐씩 물과 함께 드세요"
02968,피로한눈엔 루테인 아스타잔틴 오메가3,그린스토어,4.52,25,"*오전중, 식후*   하루에 1회, 1회당 2캡슐씩 드세요"
02969,안국 오메가 루테인 플러스,안국건강,4.63,24,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02970,루테인 지아잔틴 24,닥터린,4.67,21,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02971,메이크미 루테인,대상웰라이프,4.14,21,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02972,루테인+비타민A,세노비스,4.55,20,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02973,리턴업 아이시안 루테인 비타민A 플러스케어,CJ웰케어,4.42,19,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02974,아이클리어 눈사랑 루테인,종근당건강,4.39,18,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02975,프리미엄 루테인 2.0,헬스프랜드,4.5,18,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02976,슈퍼 루테인 비젼,종근당건강,4.67,18,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02977,눈건강 루테인 골드,일양약품,4.47,17,"*오전중, 식후*   하루에 1회, 1회당 1정씩 물과 함께 드세요"
02978,아이케어 루테인 구미 3000,엔젯오리진,4.29,17,"*오전중, 식후*   하루에 1회, 1회당 3구미씩 드세요"
02979,안국 글라우테인,안국건강,4.59,17,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 물과 함께 드세요"
02980,뻔뜩 젤리 루테인,니몸내몸,4.44,16,"*오전중, 식후*   하루에 1회, 1회당 2구미씩 씹어서 드세요"
02981,루테인 오메가3,종근당,4.63,16,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02982,루테인&amp;지아잔틴 60구미,닥터스베스트,4.94,16,"*오전중, 식후*   하루에 1회, 1회당 2구미씩 드세요"
02983,퓨어 루테인,고려은단,4.44,16,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02984,안국 오메가 루테인,안국건강,4.07,15,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02985,안국 더퍼스트 루테인,안국건강,4.73,15,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02986,눈 건강 루테인 아스타잔틴,해비추얼(와이즐리),4.41,17,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02987,유한 루테인지아잔틴,유한양행,4.4,15,"*오전중, 식후*   하루에 1회, 1회당 1개씩 드세요"
02988,루테인 2.0,메이플트리,4.47,15,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02989,닥터 슈퍼칸 밀크시슬 앤 루테인 플러스,에이치엘사이언스,4.64,14,"*언제든, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02990,리턴업 아이시안 루테인 지아잔틴 플러스케어,CJ웰케어,4.4,15,"*언제든*   하루에 1회, 1회당 1캡슐씩 드세요"
02991,아이 포뮬러,제이앤에이치바이오,4.21,14,"*아침, 식후/저녁, 식후*   하루에 2회, 1회당 2캡슐씩 드세요"
02992,마큐가드 with 사프란,라이프익스텐션,4.77,13,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02993,알파프로젝트 눈건강,정관장,4.62,13,"*오전중, 식후*   하루에 1회, 1회당 3캡슐씩 물과 함께 드세요"
02994,데일리코어 루테인 아스타잔틴,천호엔케어,4.69,13,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02995,TFT 비바시티 눈건강 젤리,빙그레,4.71,14,"*오전중, 식후*   하루에 1회, 1회당 2구미씩 씹어서 드세요"
02996,루테인 알티지 오메가3 프리미엄,한미헬스케어,4.69,13,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02997,안국 루테인 미니 100,안국건강,4.38,13,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
02998,내눈앤,한미약품,4.17,12,"*아침, 식후/저녁, 식후*   하루에 2회, 1회당 2개씩 드세요"
02999,눈 건강엔 루테인,광동제약,4.75,12,"*오전중, 식후*   하루에 1회, 1회당 1개씩 드세요"
03000,에너씨슬 밀크씨슬 루테인 아스타잔틴,대웅제약,4.45,11,"*언제든, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03001,아이헬스 루아잔틴,애터미,4.73,11,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 물과 함께 드세요"
03002,뉴트리디데이 프리미엄 루테인 오메가3 비타민D,뉴트리디데이,4.27,11,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03003,밀토루테인부스터,더리틀스,4.73,11,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03004,락피도 루테인,에프앤디넷,4.8,10,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03005,아이편안 루테인지아잔틴,휴럼,4.2,10,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03006,비젼 아이디,암웨이,4.64,11,"*오전중, 식후*   하루에 1회, 1회당 2정씩 드세요"
03007,아이브라이트 루테인,그린스토어,4.5,10,"*언제든, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03008,유한 루테인지아잔틴 플러스,유한양행,4.3,10,"*오전중, 식후*   하루에 1회, 1회당 1개씩 드세요"
03009,빌베리 징코 아이브라이트 컴플렉스 플러스 루테인,솔가,4.4,10,"*오전중, 식후*   하루에 1회, 1회당 2캡슐씩 드세요"
03010,눈 건강 루테인 플러스,대상웰라이프,4.1,10,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03011,루테인 지아잔틴 7종 복합 기능성,순수식품,4.56,9,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03012,닥터에스더 루테인&amp;아스타잔틴,에스더포뮬러,4.56,9,"*오전중, 식후*   하루에 1회, 1회당 2캡슐씩 물과 함께 드세요"
03013,세노메가 알티지오메가3 루테인 비타민D,대웅제약,4.78,9,"*오전중, 식후*   하루에 1회, 1회당 1개씩 드세요"
03014,한미양행 루테인 밀크씨슬 프리미엄,한미양행,4.44,9,"*언제든*   하루에 1회, 1회당 1캡슐씩 물과 함께 드세요"
03015,연세 루테인 플러스,연세생활건강,4.25,8,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03016,루테인지아잔틴,바디닥터스,4.5,8,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03017,뉴트리원라이프 루테인 지아잔틴 164 이엑스,뉴트리원,4.63,8,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03018,메가루테인,일동제약,3.88,8,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03019,루테인 10mg,나우푸드,4.13,8,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03020,리턴업 아이시안 루테인,CJ제일제당,4.75,8,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03021,루테인 10mg  지아진틴 함유,레이크에비뉴뉴트리션,4.13,8,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03022,닥터에스더 루테인&amp;지아잔틴,에스더포뮬러,4.13,8,"*언제든*   하루에 1회, 1회당 1캡슐씩 물과 함께 드세요"
03023,데일리케어 루테인지아잔틴,유한양행,4.63,8,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03024,스카이메모리,이너배리어,4.71,7,"*오전중, 식후*   하루에 1회, 1회당 2캡슐씩 물과 함께 드세요"
03025,코어 알티지 오메가3 루테인,코어업,4.29,7,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 물과 함께 드세요"
03026,아이클리어 빌베리,종근당건강,4.29,7,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03027,아이클리어 루테인 미니캡슐,종근당건강,4.43,7,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03028,하루보람 루테인 지아잔틴 아스타잔틴,엘로스바이오,5.0,7,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 드세요"
03029,루테인 지아잔틴 아스타잔틴 알티지 오메가3,보령컨슈머헬스케어,4.71,7,"*오전중, 식후*   하루에 1회, 1회당 2캡슐씩 드세요"
03030,플래티넘 루테인 플러스,써니씨앤비,4.14,7,"*오전중, 식후*   하루에 1회, 1회당 1캡슐씩 물과 함께 드세요"
03031,눈건강 슈퍼 루테인 골드,비타민하우스,4.57,7,"*언제든*   하루에 1회, 1회당 1캡슐씩 물과 함께 드세요"
